Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
MPWR,Monolithic Power Sys,164.12,5.48,3.45%,160.86,164.57,156.35,370500,03/02/2020
MRK,Merck & Company,81.37,4.81,6.28%,77.13,81.55,77.08,17977600,03/02/2020
MRNA,Moderna Inc,29.88,3.95,15.23%,27,30.75,25.21,33079500,03/02/2020
MRO,Marathon Oil Corp,8.34,0.06,0.72%,8.45,8.45,7.93,23726100,03/02/2020
MRVL,Marvell Tech Group,21.96,0.66,3.10%,21.6,22,20.79,13312399,03/02/2020
MS,Morgan Stanley,46.48,1.45,3.22%,45.11,46.48,44.4,23234100,03/02/2020
MSCI,MSCI Inc,315.53,20.09,6.80%,299.44,316.05,297.26,1152400,03/02/2020
MSFT,Microsoft Corp,172.79,10.78,6.65%,165.31,172.92,162.31,71030602,03/02/2020
MSG,The Madison Square Garden Comp,265.4,-2.42,-0.90%,269.62,269.62,259.01,329800,03/02/2020
MSI,Motorola Solutions,173.49,7.81,4.71%,166.81,173.55,166.17,1510200,03/02/2020
MSM,Msc Industrial Direct Company,63.97,2.15,3.48%,62.25,64.04,60.65,893700,03/02/2020
MTB,M&T Bank Corp,147.51,7.13,5.08%,140.38,147.56,137.51,1320600,03/02/2020
MTCH,Match Group Inc CS,68.14,3.14,4.83%,65,68.21,63.53,3845300,03/02/2020
MTD,Mettler-Toledo International,724.14,22.44,3.20%,704.48,725.59,698.49,306800,03/02/2020
MTG,Mgic Investment Corp,12.75,0.72,5.99%,12.05,12.76,12.01,5167500,03/02/2020
MTN,Vail Resorts,209.94,-2.67,-1.26%,213.19,214.31,206.04,518100,03/02/2020
MU,Micron Technology,54.59,2.03,3.86%,53.2,54.69,52.1,33272801,03/02/2020
MUR,Murphy Oil Corp,19.06,0.21,1.11%,19.28,19.38,18.23,3963800,03/02/2020
MXIM,Maxim Integrated,57.81,2.19,3.94%,55.88,57.86,55.18,2277400,03/02/2020
MYL,Mylan NV Ord Shs,17.48,0.29,1.69%,17.23,17.72,16.79,8359101,03/02/2020
NATI,Natl Instruments Cor,40.31,0.03,0.06%,40.56,40.86,39.19,942300,03/02/2020
